0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	0.00167	e
0.00431	0.09964	0.00481	0.00232	0.05573	0.06334	0.12888	0.12030	0.06170	0.00355	0.00718	0.14855	0.00584	0.00685	0.00869	0.00549	0.00862	0.00194	0.09122	0.22402	0.00271	0.07223	0.23825	0.00880	0.13187	0.00368	0.14367	0.10126	0.01819	0.15790	0.01288	0.04607	0.13483	0.02501	0.00383	0.12288	0.19767	0.00473	0.00518	0.06097	0.13435	0.00982	0.10995	0.00404	0.03969	0.02970	0.14746	0.17354	0.02122	0.00172	e
0.06783	0.15963	0.01649	0.00646	0.24654	0.25464	0.34448	0.30467	0.27542	0.01752	0.02310	0.26478	0.02451	0.01635	0.01429	0.01213	0.02444	0.00424	0.30365	0.39352	0.01231	0.18033	0.40304	0.02960	0.34295	0.03943	0.35438	0.28733	0.10029	0.35168	0.14675	0.22735	0.32905	0.05176	0.01329	0.27298	0.38153	0.07634	0.02041	0.19401	0.29784	0.05667	0.18934	0.00891	0.05063	0.13003	0.26775	0.34893	0.05392	0.00249	e
0.26192	0.20086	0.04650	0.01933	0.42812	0.43293	0.50830	0.46863	0.45480	0.07911	0.05424	0.34805	0.07133	0.02995	0.01834	0.02178	0.05762	0.00934	0.47668	0.51917	0.04586	0.30402	0.51134	0.06504	0.50687	0.19462	0.51560	0.45550	0.24094	0.51030	0.34143	0.41039	0.49260	0.07930	0.03592	0.41157	0.52786	0.27105	0.06272	0.35051	0.44337	0.18156	0.24786	0.01880	0.04968	0.27052	0.37308	0.49457	0.09297	0.00421	e
0.44158	0.23359	0.10192	0.04828	0.56960	0.57230	0.63122	0.59784	0.59082	0.21596	0.09906	0.40105	0.14840	0.04626	0.02118	0.03460	0.11638	0.01675	0.60739	0.60904	0.11055	0.42275	0.57661	0.10773	0.63012	0.37974	0.63668	0.58765	0.38449	0.63170	0.50241	0.55520	0.61832	0.10476	0.07214	0.52621	0.63967	0.44826	0.14034	0.48953	0.56088	0.34208	0.29366	0.03681	0.04448	0.40277	0.46352	0.60873	0.13100	0.00705	e
0.58031	0.26126	0.17879	0.10010	0.67674	0.67820	0.72342	0.69660	0.69304	0.37735	0.15210	0.42981	0.24444	0.06401	0.02330	0.05130	0.20036	0.02648	0.70552	0.67027	0.19404	0.52698	0.60791	0.15100	0.72259	0.53119	0.72751	0.68832	0.50792	0.72335	0.62577	0.66545	0.71330	0.12660	0.11788	0.61682	0.72360	0.58524	0.23990	0.60100	0.65228	0.48822	0.33342	0.06344	0.03833	0.51120	0.53587	0.69659	0.16403	0.01124	e
0.68499	0.28458	0.26527	0.17633	0.75737	0.75808	0.79256	0.77137	0.76975	0.52015	0.20757	0.44102	0.34548	0.08234	0.02516	0.07287	0.29941	0.03950	0.77913	0.70924	0.27894	0.61413	0.61200	0.19129	0.79194	0.64723	0.79563	0.76416	0.60719	0.79228	0.71894	0.74864	0.78473	0.14438	0.16790	0.68682	0.78546	0.68867	0.34130	0.68631	0.72206	0.60688	0.37147	0.09537	0.03254	0.59425	0.58804	0.76384	0.19087	0.01724	e
0.76365	0.30377	0.35035	0.27066	0.81793	0.81819	0.84442	0.82776	0.82730	0.63468	0.26103	0.44041	0.44167	0.10072	0.02709	0.10012	0.40098	0.05720	0.83435	0.73155	0.35396	0.68492	0.59553	0.22700	0.84395	0.73491	0.84672	0.82082	0.68420	0.84405	0.78902	0.81122	0.83838	0.15824	0.21755	0.74016	0.82962	0.76641	0.43205	0.74918	0.77468	0.69947	0.40991	0.12761	0.02756	0.65425	0.61942	0.81524	0.21189	0.02562	e
0.82269	0.31914	0.42741	0.37214	0.86339	0.86336	0.88332	0.87020	0.87047	0.72337	0.30977	0.43243	0.52789	0.11881	0.02929	0.13326	0.49600	0.08087	0.87576	0.74194	0.41429	0.74137	0.56529	0.25775	0.88296	0.80090	0.88504	0.86264	0.74229	0.88291	0.84166	0.85824	0.87865	0.16857	0.26363	0.78037	0.85916	0.82477	0.50733	0.79316	0.81401	0.77056	0.44924	0.15605	0.02347	0.69437	0.63071	0.85457	0.22810	0.03699	e
0.86699	0.33114	0.49369	0.47066	0.89750	0.89729	0.91249	0.90213	0.90285	0.79107	0.35255	0.42029	0.60231	0.13634	0.03183	0.17162	0.57987	0.11116	0.90682	0.74429	0.45918	0.78582	0.52754	0.28376	0.91222	0.85048	0.91378	0.89283	0.78485	0.91207	0.88118	0.89356	0.90886	0.17587	0.30435	0.81043	0.87619	0.86855	0.56667	0.82107	0.84322	0.82471	0.48888	0.17847	0.02020	0.71789	0.62395	0.88471	0.24066	0.05176	e
